,close,rsi (14),macd,macd signal,bol_upper (20),bol_lower (20),sma50,sma100,sma200,Y
Sat Feb 10 15:12:00 2018,0.00011602,42.12735993324823,-2.4406870102936895e-07,-1.7175443140419866e-07,0.00011657850000000064,0.00011657850000000064,0.0001165928,0.00011691400000000003,0.00011810825000000011,1
Sat Feb 10 15:15:00 2018,0.0001166,51.40500720076153,-1.8611220778835022e-07,-1.9309665240217768e-07,0.00011641700000000064,0.00011641700000000064,0.00011662899999999998,0.00011683300000000002,0.0001180749500000001,0
Sat Feb 10 15:16:00 2018,0.00011641,48.56909879246656,-1.6469884574272955e-07,-1.8741709107028807e-07,0.00011638400000000065,0.00011638400000000065,0.00011664479999999998,0.00011680880000000003,0.0001180672000000001,1
Sat Feb 10 15:17:00 2018,0.00011659,51.30962215206393,-1.3168611085522604e-07,-1.7627089502727567e-07,0.00011637200000000065,0.00011637200000000065,0.00011666679999999997,0.00011678880000000002,0.0001180605500000001,0
Sat Feb 10 15:18:00 2018,0.00011621,45.7653796459005,-1.3463412641794286e-07,-1.679435413054091e-07,0.00011634200000000064,0.00011634200000000064,0.00011668259999999998,0.00011676500000000002,0.00011805200000000008,1
Sat Feb 10 15:19:00 2018,0.00011634,47.84177773904707,-1.2503916281131615e-07,-1.5936266560659052e-07,0.00011631900000000065,0.00011631900000000065,0.0001167014,0.00011674330000000002,0.0001180438500000001,0
Sat Feb 10 15:20:00 2018,0.0001163,47.24244540412187,-1.1928767664872776e-07,-1.5134766781501796e-07,0.00011628900000000065,0.00011628900000000065,0.0001167276,0.00011672050000000002,0.00011803575000000008,1
Sat Feb 10 15:25:00 2018,0.00011682,54.4605881133301,4.842015639713827e-08,-4.5870595792102014e-08,0.00011640600000000069,0.00011640600000000069,0.00011687159999999999,0.00011663190000000002,0.00011797790000000009,1
Sat Feb 10 15:26:00 2018,0.00011693,56.27111760259541,6.872689266811376e-08,-2.2951098100058857e-08,0.0001164385000000007,0.0001164385000000007,0.0001168762,0.00011661280000000002,0.0001179664500000001,0
Sat Feb 10 15:27:00 2018,0.00011613,42.90962701922933,2.0035852508126437e-08,-1.4353707978421798e-08,0.00011642250000000068,0.00011642250000000068,0.00011685519999999999,0.00011658720000000003,0.0001179511000000001,1
Sat Feb 10 15:28:00 2018,0.00011644,48.056645766060306,6.38861759636811e-09,-1.0205242863463817e-08,0.0001164315000000007,0.0001164315000000007,0.0001168256,0.00011657260000000002,0.00011793785000000009,0
Sat Feb 10 15:29:00 2018,0.00011632,46.31593142401965,-1.3949114799992183e-08,-1.095401725076949e-08,0.00011644850000000069,0.00011644850000000069,0.0001168138,0.00011655480000000002,0.0001179271000000001,1
Sat Feb 10 15:33:00 2018,0.00011652,50.11159384859217,-3.0795176058569e-08,-2.4518870705627236e-08,0.00011651800000000068,0.00011651800000000068,0.00011675980000000001,0.00011647540000000005,0.00011788465000000008,0
Sat Feb 10 15:34:00 2018,0.00011649,49.508106731416206,-2.7815486230970245e-08,-2.5178193810695837e-08,0.00011653200000000068,0.00011653200000000068,0.00011673720000000002,0.00011645690000000006,0.00011787425000000009,1
Sat Feb 10 15:38:00 2018,0.00011743,65.2051009811654,1.36574040212947e-07,3.4160747534787274e-08,0.00011666300000000068,0.00011666300000000068,0.00011669360000000002,0.00011643340000000004,0.00011782635000000014,0
Sat Feb 10 15:41:00 2018,0.00011698,54.179267874598516,1.785060466171916e-07,1.0617880314453578e-07,0.00011677750000000067,0.00011677750000000067,0.00011663740000000003,0.00011643710000000002,0.00011777835000000013,1
Sat Feb 10 15:42:00 2018,0.0001173,59.56056030120806,1.920825699162237e-07,1.2335955649887336e-07,0.00011680550000000066,0.00011680550000000066,0.00011663820000000002,0.00011644160000000002,0.00011776140000000014,0
Sat Feb 10 15:43:00 2018,0.00011692,51.783207222747585,1.7021708167566727e-07,1.3273106153423213e-07,0.00011680350000000064,0.00011680350000000064,0.00011663100000000003,0.00011644610000000001,0.00011774515000000014,1
Sat Feb 10 15:45:00 2018,0.00011716,55.91220850299822,1.579387994747963e-07,1.4161247942515403e-07,0.00011682200000000062,0.00011682200000000062,0.00011661700000000003,0.00011646240000000003,0.00011771190000000014,0
Sat Feb 10 15:46:00 2018,0.00011704,53.39762143578823,1.4751314606398138e-07,1.427926127529195e-07,0.00011682750000000064,0.00011682750000000064,0.00011661640000000001,0.00011647050000000002,0.00011770315000000014,1
Sat Feb 10 15:47:00 2018,0.00011711,54.6780922682807,1.4324788318014349e-07,1.428836668383643e-07,0.00011687650000000066,0.00011687650000000066,0.00011662200000000001,0.00011648260000000003,0.00011769475000000014,0
Sat Feb 10 15:54:00 2018,0.0001155,28.955368845703244,-1.9613043029485658e-07,-1.7502493467911742e-08,0.00011683250000000065,0.00011683250000000065,0.00011657740000000002,0.00011654870000000002,0.00011759855000000017,1
Sat Feb 10 15:56:00 2018,0.00011612,42.87046495984664,-2.3251991879217606e-07,-9.516676538552272e-08,0.00011673650000000063,0.00011673650000000063,0.00011656680000000002,0.0001165607,0.00011756360000000016,0
Sat Feb 10 16:03:00 2018,0.00011524,31.0727760305046,-3.680362675011759e-07,-2.743289002342038e-07,0.00011616100000000062,0.00011616100000000062,0.00011648780000000003,0.0001165426,0.00011740945000000015,1
Sat Feb 10 16:07:00 2018,0.00011543,36.597352080205155,-3.4084403269338693e-07,-3.216028026864932e-07,0.00011582950000000062,0.00011582950000000062,0.00011640500000000002,0.00011653589999999999,0.00011731770000000015,1
Sat Feb 10 16:08:00 2018,0.00011545,37.25032816986032,-3.264744328880054e-07,-3.2257712872679565e-07,0.00011575950000000063,0.00011575950000000063,0.0001163898,0.00011653619999999998,0.00011729655000000014,0
Sat Feb 10 16:09:00 2018,0.00011529,34.214515637734024,-3.242592258280918e-07,-3.229135481470549e-07,0.00011569100000000062,0.00011569100000000062,0.00011636879999999998,0.00011653509999999999,0.00011727300000000015,1
Sat Feb 10 16:10:00 2018,0.00011533,35.626967026479875,-3.1563751971757184e-07,-3.214583424611583e-07,0.00011562750000000061,0.00011562750000000061,0.0001163494,0.00011653849999999998,0.00011724905000000014,0
